,0
spec_rolloff95,0.11865168539325846
p2p,0.09827715355805246
rms,0.06599250936329593
freq_std,0.028689138576779072
spec_centroid,0.02838951310861426
rms_freq,0.02157303370786521
BSF_ratio,0.011760299625468196
shape_factor,0.010636704119850205
spec_entropy,0.007715355805243485
BPFO_ratio,0.006591760299625504
kurtosis,0.0047940074906367425
OR_score,0.003895131086142356
IR_score,0.0033707865168539517
BPFI_ratio,0.0016479400749063843
B_score,0.001498127340824018
sum_ratio,0.0008239700374532255
crest_factor,0.0008239700374532033
